OF_M08-HX_aug-pc-4, -9.5691, 0.2434, -10.3482, -0.0000, -0.0000, -9.9452
OF_mPW91_aug-pc-4, -9.5690, 0.0000, -10.5663, 0.0000, -0.0000, -9.4890
OF_TPSS_aug-pc-4, -9.5171, -0.0000, -10.5115, 0.0000, -0.0000, -9.5359
OF_wB97M-V_aug-pc-4, -9.5739, -0.0000, -10.5367, 0.0000, -0.0000, -9.7901
OF_wB97X-D_aug-pc-4, -9.4152, 0.0000, -10.3804, 0.0000, -0.0000, -9.6288
OF_wB97X-V_aug-pc-4, -9.5338, -0.0000, -10.5041, -0.0000, 0.0000, -9.7535
OH_B97M-rV_aug-pc-4, -5.5234, 0.0000, -6.8762, -0.0000, -0.0000, -7.4783
OH_B97M-V_aug-pc-4, -5.5228, 0.0000, -6.8754, -0.0000, -0.0000, -7.4777
OH_M08-HX_aug-pc-4, -5.5862, -0.0000, -6.8532, -0.0000, -0.0000, -7.5967
OH_mPW91_aug-pc-4, -5.6165, -0.0000, -6.9617, 0.0000, 0.0000, -7.5422
OH_pbe0, -5.5437, -0.0000, -6.8650, 0.0000, 0.0000, -7.5257
OH_pbe, -5.6396, -0.0000, -6.9929, -0.0000, 0.0000, -7.5599
OH_scan0, -5.4702, 0.0000, -6.7924, 0.0000, -0.0000, -7.5022
OH_scan, -5.5074, 0.0000, -6.8549, -0.0000, 0.0000, -7.5025
OH_spw92, -5.6884, 0.0000, -7.0282, -0.0000, 0.0000, -7.6455
OH_TPSS_aug-pc-4, -5.5692, 0.0000, -6.9251, -0.0000, 0.0000, -7.5157
