method,,HF,HF,HF,MP2,MP2,MP2,CCSD,CCSD,CCSD,CCSD\(T\),CCSD\(T\),CCSD\(T\)
component,,XX,YY,ZZ,XX,YY,ZZ,XX,YY,ZZ,XX,YY,ZZ
molecule,basis,,,,,,,,,,,,
LiBH4,CBS,0,0,0,0,0,0,0,0,0,0,0,0
Mg,5Z,0,0,0,0,0,0,0,0,0,0,0,0
Mg,QZ,0.906980667,0.906980667,0.906980667,0.886534219,0.886534219,0.886534219,0.886233371,0.886233371,0.886233371,0.885068972,0.885068972,0.885068972
Mg,TZ,0.907055806,0.907055806,0.907055806,0.889356751,0.889356751,0.889356751,0.888323098,0.888323098,0.888323098,0.887389199,0.887389199,0.887389199
Mg,CBS,0.906980667,0.906980667,0.906980667,0.884529365,0.884529365,0.884529365,0.884763266,0.884763266,0.884763266,0.883430663,0.883430663,0.883430663
N,5Z,0.758395957,0.758395957,0.758395957,0.76110413,0.76110413,0.76110413,0.761226124,0.761226124,0.761226124,0.762004546,0.762004546,0.762004546
N,QZ,0.758696999,0.758696999,0.758696999,0.761681081,0.761681081,0.761681081,0.761802982,0.761802982,0.761802982,0.762580816,0.762580816,0.762580816
N,TZ,0.759270746,0.759270746,0.759270746,0.762988158,0.762988158,0.762988158,0.76316601,0.76316601,0.76316601,0.76393778,0.76393778,0.76393778
N,CBS,0.758395957,0.758395957,0.758395957,0.76081465,0.76081465,0.76081465,0.760936741,0.760936741,0.760936741,0.761715781,0.761715781,0.761715781
N2,5Z,0,0,0,0,0,0,0,0,0,0,0,0
N2,QZ,0.742770307,0.742770307,1.301296316,0.737305042,0.737305042,1.305341008,0.737583514,0.737583514,1.303088692,0.737990136,0.737990136,1.303798351
N2,TZ,0.743181298,0.743181298,1.301398336,0.738710856,0.738710856,1.305993385,0.738976716,0.738976716,1.303844918,0.739442948,0.739442948,1.304576068
